dbn,school_name,applications,acceptances,per_pupil_spending,avg_class_size,asian_percent,black_percent,hispanic_percent,multiple_percent,white_percent,rigorous_instruction,collaborative_teachers,supportive_environment,effective_school_leadership,strong_family_community_ties,trust,disability_percent,poverty_percent,ESL_percent,school_size,student_achievement,reading_scores_exceed,math_scores_exceed
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,6,0,24890,20.15,3.3,31.8,61.3,0.9,2.7,2.04,2.4,2.3,2.45,3.33,2.32,36.6,97.6,7.5,333,2.7,0.33,0.26
01M140,P.S. 140 NATHAN STRAUS,6,0,23536,24.56,5.7,12.4,78.7,0.5,2.7,3.41,3.25,2.5,4.11,3.12,3.26,31,87.3,9.7,371,2.71,0.31,0.24
01M184,P.S. 184M SHUANG WEN,67,23,16206,29.69,69.4,3.7,13.5,6.1,7.3,2.98,2.96,3.68,2.75,3.38,2.91,16.5,67.5,15.1,684,4.28,0.68,0.74
01M188,P.S. 188 THE ISLAND SCHOOL,0,0,21960,24.09,1.8,29.3,66.1,0,2.8,3.87,4.25,3.79,4.99,4.99,4.99,29.1,91.5,15.9,433,4.54,0.28,0.24
01M301,"TECHNOLOGY, ARTS, AND SCIENCES STUDIO",11,0,25444,15.8,3.8,32.1,54.7,3.8,5.7,,,,,,,42.5,82.1,2.8,106,,0.33,0.2
01M332,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,13,0,34000,12.5,8.9,23.2,63.1,1,3.9,2.84,4.02,3.39,3.95,3.54,4.16,44.3,87.7,5.4,203,2.51,0.27,0.18
01M378,SCHOOL FOR GLOBAL LEADERS,19,1,23623,20.33,13.7,27.3,56.6,0.8,1.6,4.78,3.2,3.67,3.62,4.07,3.68,38.3,80.1,9,256,3.12,0.32,0.22
01M450,EAST SIDE COMMUNITY SCHOOL,16,1,20377,10.64,11.9,16.5,53.7,3.2,14.6,4.37,4.57,4.53,4.2,4.68,4.31,26.4,64.7,0.9,683,2.51,0.61,0.54
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH SCHOOL",126,91,13776,28.75,33.2,7.7,11.8,7.4,39.9,3.89,3.19,3.97,3.74,4.08,3.08,8,22.8,0.8,1734,4.58,0.9,0.9
01M839,TOMPKINS SQUARE MIDDLE SCHOOL,66,14,19395,29,23.1,13.7,38.6,3.8,20.9,4.25,4.44,3.76,3.74,3.98,3.85,26.5,68.9,2.1,373,3.77,0.55,0.49
02M104,J.H.S. 104 SIMON BARUCH,260,53,16664,23.5,33.7,7.5,19,5.2,34.7,4.21,4.16,3.74,3.19,3.21,3.5,17,43.8,4.1,1134,3.43,0.74,0.72
